 &SRS
 SRSRUN=236467,SRSDAT=2021124,SRSTIM=2563,
 SRSSTN='Bran',SRSPRJ='I06-1   ',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
<MetaDataAtStart>
command=scan fastEnergy 0.0 199.0 1.0 fesData 0 1
date='Wed Feb 24 14:56:02 2021'
beamenergy=3.00093564698
ringcurrent=299.339180813
iddgap=36.2784
iddtrp=22.4135
iddbrp=22.4135
idugap=100.0
idutrp=0.0
idubrp=0.0
pugap=155.004
pgmpitch=88.267633402
pgmgratpitch=87.5558768731
cff=2.25
grating=400
pgmenergy=694.6734
denergy=694.673
uenergy=694.673
s1xgap=1.497
s1ygap=1.496
m1x=-5.0
m1pitch=-8509.0
m1qg=0.0894
m6x=3.0
m6yaw=-247.0
m6pitch=-10910.0
m6qg=0.0417
m7x=-1.4
m7pitch=6949.0
m7qg=15.1122
d9y=-16.000026
d10y=6.003
d11y=2.9
s6x=1.5147
s6xgap=1500.0
s6y=8.4886
s6ygap=20.068
iamp12_gain=10^7 V/A
magx=0.0
magy=0.0
magz=6.0
scmx=0.0
scmy=-4.0
scmth=3e-05
Tsample_mag=1.9
amp_scm_gain=5.0
amp_XABS_gain=6.0
amp_DDIFF_gain=5.0
m7y=-19.1
</MetaDataAtStart>
 &END
fastEnergy	pIndex	C1	C2	C3	C4	iddenergy	pgmenergy	C5	C6	idio	ifio	ifioft	ifiofb
705.368300	   49	  40031.000000000000	  22940.000000000000	   5785.000000000000	   1852.000000000000	    705.624000000000	    705.368300000000	  10267.000000000000	      0.000000000000	      1.745030514385	      0.252179598954	      0.080732345248	      0.447558849172
705.556900	   50	  41696.000000000000	  22954.000000000000	   6128.000000000000	   2057.000000000000	    705.839000000000	    705.556900000000	  11875.000000000000	      0.000000000000	      1.816502570358	      0.266968720049	      0.089614010630	      0.517339025878
705.770000	   51	  44308.000000000000	  22940.000000000000	   6689.000000000000	   2069.000000000000	    706.069000000000	    705.770000000000	  14450.000000000000	      0.000000000000	      1.931473408893	      0.291586748038	      0.090191804708	      0.629904097646
705.951000	   52	  50066.000000000000	  22948.000000000000	   7827.000000000000	   1866.000000000000	    706.298000000000	    705.951000000000	  18722.000000000000	      0.000000000000	      2.181715182151	      0.341075474987	      0.081314275754	      0.815844518041
706.151800	   53	  59135.000000000000	  22946.000000000000	   9164.000000000000	   1798.000000000000	    706.507000000000	    706.151800000000	  23425.000000000000	      0.000000000000	      2.577137627473	      0.399372439641	      0.078357883727	      1.020875098056
706.334100	   54	  69054.000000000000	  22942.000000000000	  10293.000000000000	   1983.000000000000	    706.693000000000	    706.334100000000	  27513.000000000000	      0.000000000000	      3.009938104786	      0.448653125272	      0.086435358731	      1.199241565687
706.539300	   55	  78210.000000000000	  22949.000000000000	  11002.000000000000	   2120.000000000000	    706.973000000000	    706.539300000000	  29901.000000000000	      0.000000000000	      3.407991633622	      0.479410867576	      0.092378752887	      1.302932589655
706.725400	   56	  85466.000000000000	  22940.000000000000	  11383.000000000000	   1938.000000000000	    707.196000000000	    706.725400000000	  30346.000000000000	      0.000000000000	      3.725632083697	      0.496207497820	      0.084481255449	      1.322842197036
706.918300	   57	  91435.000000000000	  22955.000000000000	  11608.000000000000	   1806.000000000000	    707.410000000000	    706.918300000000	  29865.000000000000	      0.000000000000	      3.983228054890	      0.505685035940	      0.078675669789	      1.301023742104
707.102500	   58	  96079.000000000000	  22950.000000000000	  11639.000000000000	   1920.000000000000	    707.641000000000	    707.102500000000	  28743.000000000000	      0.000000000000	      4.186448801743	      0.507145969499	      0.083660130719	      1.252418300654
707.310800	   59	  98139.000000000000	  22936.000000000000	  11571.000000000000	   2104.000000000000	    707.868000000000	    707.310800000000	  27013.000000000000	      0.000000000000	      4.278819323334	      0.504490756889	      0.091733519358	      1.177755493547
707.512400	   60	  98714.000000000000	  22948.000000000000	  11405.000000000000	   2025.000000000000	    708.087000000000	    707.512400000000	  24893.000000000000	      0.000000000000	      4.301638487014	      0.496993202022	      0.088242984138	      1.084756841555
