 &SRS
 SRSRUN=236464,SRSDAT=2021124,SRSTIM=25111,
 SRSSTN='Bran',SRSPRJ='I06-1   ',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
<MetaDataAtStart>
command=scan fastEnergy 0.0 199.0 1.0 fesData 0 1
date='Wed Feb 24 14:51:10 2021'
beamenergy=3.00092942727
ringcurrent=301.621872813
iddgap=36.38535
iddtrp=-22.426
iddbrp=-22.426
idugap=100.0
idutrp=0.0
idubrp=0.0
pugap=155.004
pgmpitch=88.2676226748
pgmgratpitch=87.5559801511
cff=2.25
grating=400
pgmenergy=694.7855
denergy=694.786
uenergy=694.786
s1xgap=1.497
s1ygap=1.496
m1x=-5.0
m1pitch=-8509.0
m1qg=0.1035
m6x=3.0
m6yaw=-247.0
m6pitch=-10910.0
m6qg=0.0339
m7x=-1.4
m7pitch=6949.0
m7qg=14.5392
d9y=-16.000026
d10y=6.003
d11y=2.9
s6x=1.5147
s6xgap=1499.9
s6y=8.4887
s6ygap=20.068
iamp12_gain=10^7 V/A
magx=0.0
magy=0.0
magz=6.0
scmx=0.0
scmy=-4.0
scmth=3e-05
Tsample_mag=1.9
amp_scm_gain=5.0
amp_XABS_gain=6.0
amp_DDIFF_gain=5.0
m7y=-19.1
</MetaDataAtStart>
 &END
fastEnergy	pIndex	C1	C2	C3	C4	iddenergy	pgmenergy	C5	C6	idio	ifio	ifioft	ifiofb
711.028200	   77	  64224.000000000000	  22419.000000000000	   8617.000000000000	   2071.000000000000	    712.474000000000	    711.028200000000	  11374.000000000000	      0.000000000000	      2.864712966680	      0.384361479103	      0.092377001650	      0.507337526205
711.205000	   78	  62723.000000000000	  22412.000000000000	   8490.000000000000	   2059.000000000000	    712.714000000000	    711.205000000000	  11141.000000000000	      0.000000000000	      2.798634660004	      0.378814920578	      0.091870426557	      0.497099767981
711.388900	   79	  61349.000000000000	  22395.000000000000	   8416.000000000000	   1859.000000000000	    712.938000000000	    711.388900000000	  11012.000000000000	      0.000000000000	      2.739406117437	      0.375798169234	      0.083009600357	      0.491716901094
711.548500	   80	  60212.000000000000	  22376.000000000000	   8343.000000000000	   1810.000000000000	    713.158000000000	    711.548500000000	  10863.000000000000	      0.000000000000	      2.690918841616	      0.372854844476	      0.080890239542	      0.485475509474
711.729400	   81	  59149.000000000000	  22350.000000000000	   8247.000000000000	   2005.000000000000	    713.376000000000	    711.729400000000	  10687.000000000000	      0.000000000000	      2.646487695749	      0.368993288591	      0.089709172260	      0.478165548098
711.900300	   82	  58302.000000000000	  22367.000000000000	   8191.000000000000	   2104.000000000000	    713.596000000000	    711.900300000000	  10535.000000000000	      0.000000000000	      2.606607949211	      0.366209147405	      0.094067152501	      0.471006393347
712.082900	   83	  57490.000000000000	  22351.000000000000	   8071.000000000000	   1917.000000000000	    713.832000000000	    712.082900000000	  10408.000000000000	      0.000000000000	      2.572144423068	      0.361102411525	      0.085767974587	      0.465661491656
712.246000	   84	  56756.000000000000	  22343.000000000000	   8023.000000000000	   1794.000000000000	    714.060000000000	    712.246000000000	  10290.000000000000	      0.000000000000	      2.540213937251	      0.359083381820	      0.080293604261	      0.460546927449
712.428200	   85	  56051.000000000000	  22322.000000000000	   7957.000000000000	   1909.000000000000	    714.280000000000	    712.428200000000	  10105.000000000000	      0.000000000000	      2.511020517875	      0.356464474509	      0.085521010662	      0.452692411074
712.607400	   86	  55422.000000000000	  22322.000000000000	   7917.000000000000	   2087.000000000000	    714.511000000000	    712.607400000000	   9981.000000000000	      0.000000000000	      2.482842039244	      0.354672520383	      0.093495206523	      0.447137353284
